show_name,key_creatives,network,studio,date,genre,subgenre,episode_count,source_type,status,order_type,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Control,"Bob Fisher, Rob Greenberg, Dan Sterling",Fox,Fox Entertainment Studios,2022-07-26,Comedy,Workplace,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animaniacs,Steven Spielberg,Hulu,Amblin TV,2018-01-04,Animation,Comedy,,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anne Rice's Interview with the Vampire,"Rolin Jones, Mark Johnson, Anne Rice, Christopher Rice, Alan Taylor",AMC,,2023-01-01,Drama,Fantasy,8,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anne Rice's Mayfair Witches,"Esta Spalding, Michelle Ashford, Mark Johnson",AMC,,2023-01-01,Drama,Fantasy,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anon Pls,"Greg Berlanti (ep), Sarah Schechter (ep), DeuxMoi (ep)",HBO,"Berlanti Productions, Warner Bros. Television",2021-01-01,Drama,,,Book,,,"When Cricket Lopez, assistant to one of the most notorious celebrity stylists, revamps her old-style Instagram account and turns it into a celebrity gossip blog on a drunken whim, she never thinks it will become anything. But when the account grows overnight and she starts getting juicy gossip from fans, she becomes famous. No one knows that she is behind the account, but its newfound success is affecting her real life. Is the fame, the insider access and escape from real life really worth losing everything she has? Based on the novel by DeuxMoi.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquaman: King of Atlantis,"James Wan (ep), Michael Clear (ep), Rob Hackett (ep), Sam Register (ep), Marly Halpern-Graser (sr, co-ep)",HBO,"Atomic Monster, Warner Bros. Animation",2021-01-01,Drama,,,Comic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,David E. Kelley,ABC,,2022-02-28,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avatar: The Last Airbender,"Albert Kim, Dan Lin, Lindsey Liberatore, Michael Goi, Roseanne Liang, Jabbar Raisani",Netflix,Netflix,2021-01-01,Action,Fantasy,,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B Positive,"Marco Pennette (w, ep, sr), Chuck Lorre (ep), Jim Patterson (ep, sr)",CBS,"Warner Bros. Television, Chuck Lorre Productions",2020-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Monkey,"Bill Lawrence, Vince Vaughn, Matt Tarses, Jeff Ingold, Liza Katzer",Apple TV+,Warner Bros. Television,2023-01-01,Drama,Crime,10,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Sisters,"Sharon Horgan, Brett Baer, Dave Finkel, Karen Cogan, Ailbhe Keogan, Daniel Cullen, Perrie Balthazar, Paul Howard, Faye Dorn, Clelia Mountford, Malin-Sarah Gozin, Dearbhla Walsh, Josephine Bornebusch, Rebecca Gatward",Apple TV+,Merman Productions,2023-01-01,Drama,,,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bammas,"Opeyemi “Opey” Olagbaju (w, ep), Biniam Bizuneh (w, ep), Danny Chun (ep, sr), Jonathan Krisel (d, ep), Ramy Youssef (ep)",Hulu,ABC Signature,2023-01-01,Comedy,,,Original,,,"A pair of young Ethiopian- and Nigerian-American best friends struggle to overcome their loser reputations in a magical realist version of Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Based on a True Story,"Craig Rosenberg, Jason Bateman",Peacock,,2022-04-11,Comedy,Thriller,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batman: Caped Crusader,"J.J. Abrams, Matt Reeves, Bruce Timm",Prime Video,,2023-03-09,Animation,"Action, Superhero",,Comic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty and the Beast: Little Town,"Josh Gad (w, ep, sr), Edward Kitsis (w, ep, sr), Adam Horowitz (w, ep, sr), Liesl Tommy (d)",Paramount+,ABC Signature,2023-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Shot,"David E. Kelley (w, ep), Dead Lorey (w, ep), Brad Garrett (ep), Bill D’Elia (d)",Paramount+,ABC Studios,2023-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Sky,"David E. Kelley (w, ep)",ABC,20th Television,2020-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Cake,"Marissa Jo Cerar (w, ep), Oprah Winfrey (ep), Aaron Kaplan (ep), Carla Gardini (ep), Andrew Dosenmu (d)",Hulu,"Harpo Films, Kapital Entertainment",2021-01-01,Drama,,,Book,,,"In the late 1960s, runaway bride Covey disappears into the surf off the coast of Jamaica and is feared drowned or a fugitive on the run for her husband’s murder. Fifty years later in California, Eleanor Bennett, a widow in her 60s, loses her battle with cancer, leaving her two estranged children a flash drive that holds previously untold stories of her journey from the Caribbean to America. These stories, narrated by Eleanor, shock her children and challenge everything they thought they knew about their family’s origin. Based on the upcoming book by Charmaine Wilkerson.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Doves,"Joe Barton, Jane Featherstone, Chris Fry, Keira Knightley",Netflix,Sister,2023-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
