show_name,key_creatives,network,studio,date,genre,subgenre,episode_count,source_type,status,order_type,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English Teacher,"Brian Jordan Alvarez, Paul Simms",FX,FX Productions,2023-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic,"Eddy Kitsis (w, ep, sr), Brigitte Hales (ep)",ABC,ABC Signature,2021-01-01,Drama,,,Original,,,"Set in the fairytale universe of Disney, the romantic anthology series reinvents fairy tales for a new audience. It will focus on a whole new set of new heroes, villains, princes, princesses and all manner of magical beings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÉTOILE,"Amy Sherman-Palladino, Daniel Palladino, Dhana Rivera Gilbert, Scott Ellis, Luke Kirby, Gideon Glick, Camille Cottin, Simon Callow, Lou de Laâge, David Alvarez",Prime Video,Amazon Studios,2023-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expats,"Alice Bell, Lulu Wang, Janice Y.K. Lee, Nicole Kidman, Per Saari, Theresa Park, Dani Melia, Stan Wlodkowski",Prime Video,Amazon Studios,2021-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exploding Kittens,"Mike Judge, Greg Daniels, Shane Kosakowski, Matthew Inman, Dustin Davis, Peter Chernin, Jenno Topping, Elan Lee",Netflix,Bandera Entertainment,2023-01-01,Comedy,,,Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extrapolations,"Scott Z. Burns, Michael Ellenberg, Greg Jacobs, Dorothy Fortenberry, Lindsey Springer",Apple TV+,Media Res,2023-01-01,Drama,Science Fiction,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfax,"Matt Hausfater, Aaron Buchsbaum, Teddy Riley, Jon Zimelis, Jason U. Nadler, Peter A. Knight, Chris Prynoski, Ben Kalina, Antonio Cannobio, Somehoodlum",Prime Video,Serious Business,2021-01-01,Animation,Comedy,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fallout,"Geneva Robertson-Dworet, Graham Wagner, Jonathan Nolan, Lisa Joy, Athena Wickham, Todd Howard, James Altman, Walton Goggins, Ella Purnell, Kyle MacLachlan, Xelia Mendes-Jones, Aaron Moten",Prime Video,Amazon Studios,2023-01-01,Drama,,,Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertile Crescent,James Purefoy,Hulu,Fremantle,2019-06-13,Drama,,8,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Country,,CBS,,2022-01-01,Comedy,,,Original,,,FKA Cal Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firebug,"Dennis Lehane, Richard Plepler, Taron Egerton, Kary Antholis, Bradley Thomas, Dan Friedkin",Apple TV+,Apple Studios,2023-01-01,Drama,"Crime, Thriller",,True Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Kill,"Victoria 'V.E.' Schwab, Felicia D. Henderson, Emma Roberts, Karah Preiss, Jet Wilkinson",Netflix,Netflix,2021-01-01,Drama,"Fantasy, Romance",8,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Days at Memorial,"John Ridley, Carlton Cuse, Sheri Fink",Apple TV+,,2023-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FKA Heaven of Hell,"Rodes Fishburne (w, ep, co-sr), Arika Lisanne Mittman (w, ep, co-sr), John Lee Hancock (d, ep), David Kanter (ep), Jeff Okin (ep), Romeo Tirone (ep)",Paramount+,"Paramount Television,Anonymous Content",2021-01-01,Drama,,,Original,,,A psychiatrist who moves with her family from California to her husband’s hometown in Mississippi only to uncover shameful secrets that irrevocably change the lives of everyone involved.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FKA The Gordita Chronicles,"Claudia Forestieri (w, ep), Brigitte Munoz-Liebowitz (ep, sr), Josh Berman (ep), Jennifer Robinson (ep), Chris King (ep), Zoe Saldana (ep), Mariel Saldana (ep), Cisely Saldana (ep)",HBO,Sony Pictures Television,2021-01-01,Comedy,,,Original,,,A willful 12-year-old Dominican struggles to fit into hedonistic 1980s Miami as her family pursues the American dream.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FKA The United States of Al,"David Goetsch (w, ep), Maria Ferrari (w, ep), Chuck Lorre (ep), Reza Aslan (ep), Mahyad Tousi (ep), Mark Cendrowski (d, ep)",CBS,"Warner Bros. Television, Chuck Lorre Productions",2020-01-01,Comedy,,,Original,,,"Follows the friendship between Riley, a Marine combat veteran struggling to readjust to civilian life in Ohio, and Awalmir, the Interpreter who served with his unit in Afghanistan and has just arrived to start a new life in America.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fledgling,"Sonya Winton-Odamtten, Jonathan I. Kidd, Issa Rae, J.J. Abrams, Montrel McKay, Ben Stephenson, Rachel Rusch Rich, Sara Rastogi, Ray Ricord",HBO,Warner Bros. Television,2021-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleishman Is in Trouble,,Hulu,,2021-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Man,"Donald Todd, Jason Bateman, Michael Costigan, Miguel Arteta, Julian Farino, Haifaa Al Mansour, Kevin Bray",Netflix,Aggregate Films,2021-01-01,Drama,"Crime, Thriller",8,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forever,Mara Brock Akil,Netflix,Story27 Productions,2023-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frasier,"Chris Harris (w, ep), Joe Cristalli (w, ep), Kelsey Grammer (ep), Tom Russo (ep), Jordan McMahon (ep)",HBO,"CBS Television Studios, Grammnet NH Productions",2021-01-01,Comedy,,,TV Show,,,Reboot of the 1993-2004 NBC series. Plot details under wraps.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday Night Dinner,,Prime Video,Big Talk,2022-07-13,Comedy,,,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Scratch,"Attica Locke, Tembi Locke, Zoe Saldana, Reese Witherspoon, Lauren Neustadter, Richard Abate, Jermaine Johnson, Will Rowbotham, Nzingha Stewart, Guy Louthan, Emily Ferenbach, Cisely Saldana, Mariel Saldana",Netflix,Hello Sunshine,2021-01-01,Drama,Romantic,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUBAR,"Nick Santora, Arnold Schwarzenegger, David Ellison, Dana Goldberg, Bill Bost, Phil Abraham",Netflix,Skydance Television,2021-01-01,Action,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Circle,,HBO,,2021-01-01,Drama,,,Original,,,An investigation into a botched kidnapping uncovers long-held secrets connecting multiple characters and cultures in present-day New York City.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gen V,"Michele Fazekas, Tara Butters, Eric Kripke, Seth Rogen, Evan Goldberg, James Weaver",Prime Video,Amazon Studios,2021-01-01,Drama,,,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,"Zelda Barnz (w, d, co-ep), Daniel Barnz (w, d, ep), Lena Dunham (ep), Ben Barnz (ep), Marissa Diaz (p)",HBO,"HBO Max, We’re Not Brothers Productions, Good Thing Going Productions",2021-01-01,Comedy,,,Original,,,"Follows a group of high school students whose exploration of modern sexuality -- devices and all -- tests deeply entrenched beliefs about life, love and the nature of family in their conservative community.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Millie Black,"Marlon James, Simon Maxwell, Leopoldo Gout, Tanya Hamilton",HBO,Motive Pictures,2021-01-01,Drama,Crime,6,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glamorous,"Jordon Nardino (Writer, Executive Producer), Damon Wayans Jr. (Executive Producer), Kameron Tarlow (Executive Producer), Todd Strauss-Schulson (Director, Executive Producer)",Netflix,CBS Television Studios,2023-01-01,Drama,,,Original,,,"Marco Mejia is a gender-nonconforming queer young man whose life seems to be stuck in place until he lands a job working for legendary makeup mogul Madolyn Addison. It’s Marco’s first chance to figure out what he wants out of life, who he actually is and what it really means for him to be queer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glória,"Pedro Lopes, Tiago Guedes",Netflix,Netflix,2021-01-01,Drama,"Thriller, Period Drama, Spy",,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God of War,"Mark Fergus, Hawk Ostby, Rafe Judkins",Prime Video,Sony Pictures Television,2023-01-01,Drama,,,Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godfather of Harlem,"Chris Brancato, Paul Eckstein, Forest Whitaker",Epix,ABC Signature,2018-04-25,Drama,Crime,10,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goosebumps,"Nick Stoller (w, ep), Rob Letterman (w, d, ep), Neal H. Moritz (ep), Pavun Shetty (ep), Conor Welch (ep), Iole Lucchese (ep), Caitlin Friedman (ep)",Paramount+,Sony Pictures Television,2023-01-01,Drama,,,Book,,,"A group of five high schoolers who unleash supernatural forces upon their town and all must work together — thanks to and in spite of their friendships, rivalries and pasts with one another — in order to save it, learning much about their own parents' teenage secrets in the process. Based on R.L. Stine's book series.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gossip Girl,"Joshua Safran (ep), Stephanie Savage (ep), Josh Schwartz (ep), Leslie Morgenstein (ep), Gina Girolamo, Lis Rowinski (co-ep), Karena Evans (d)",HBO,Warner Bros. Studio,2021-01-01,Drama,,,Original,,,"Eight years after the original website went dark, a new generation of New York private school teens is introduced to the social surveillance of Gossip Girl. The series will address just how much social media — and the landscape of New York itself — has changed in the intervening years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Lantern,"Greg Berlanti (w, ep), Seth Grahame-Smith (w, ep), Geoff Johns (ep), Sarah Schecter (ep), David Madden (ep), David Katzenberg (ep), Lee Toland Krieger (d), Elizabeth Hunter (co-ep), Sara Saedi (co-ep)",HBO,"Berlanti Productions, Warner Bros. Television",2021-01-01,Drama,,,Comic,,,Superhero series inspired by DC Comics' Green Lantern and introducing characters from the comics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griselda,"Ingrid Escajeda, Eric Newman, Doug Miro, Andrés Baiz, Carlo Bernard, Sofia Vergara, Luis Balaguer",Netflix,Netflix,2021-01-01,Drama,"Crime, Biography",6,True Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillermo del Toro's Cabinet of Curiosities,"Guillermo del Toro, Panos Cosmatos, Jennifer Kent, Vincenzo Natali, Miles Dale, Gary Ungar",Netflix,Netflix,2021-01-01,Drama,Anthology,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gumshoe,"Aaron Brownstein (w, ep, sr), Simon Ganz (w, ep, sr), Randall Einhorn (d. ep)",HBO,HBO Max,2021-01-01,Comedy,,10,Original,,,"A sweet, optimistic young cop and a creepy, crime-obsessed teenager secretly team up to solve a murder.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacks,"Paul W. Downs (w, ep), Lucia Aniello (w, d, ep), Jen Statsky (w, ep), Mike Schur (ep), David Miner (ep), Morgan Sackett (ep)",HBO,"Universal Television, Fremulon",2021-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harlan Coben's Shelter,"Harlan Coben, Charlotte Coben, Patricia Cardoso, Jaden Michael, Constance Zimmer, Adrian Greensmith, Abby Corrigan, Sage Linder, Brian Altemus",Prime Video,MGM Television,2023-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawkeye,"Jonathan Igla (w, ep)",Paramount+,Marvel Television,2023-01-01,Drama,,,Comic,,,"Clint Barton passes the torch to Kate Bishop, a member of the group known as the Young Avengers and first female to take the Hawkeye name after Barton.Based on the Marvel Comics characters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head of the Class,"Amy Pocha (w, ep), Seth Cohen (w, ep), Bill Lawrence (ep), Steven Cragg (ep), Brian Bradley (ep)",HBO,"Doozer Productions, Warner Horizon Scripted Television",2021-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heartstopper,"Alice Oseman, Euros Lyn, Patrick Walters, Jamie Laurenson, Hakan Kousetta, Iain Canning, Emile Sherman, Zorana Piggott",Netflix,See-Saw Films,2021-01-01,Drama,Romantic,,Comic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedy Lamarr,"Sarah Treem, Warren Liuttlefield, Gal Gadot, Katie Robbins, Adam Haggiag, Alexandra Dean",Apple TV+,Endeavor Content,2023-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hello Mars,,HBO,,2021-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hello Tomorrow,"Amit Bhalla, Lucas Jansen, Billy Crudup, Jonathan Entwistle, Blake Griffin, Ryan Kalil, Noah Weinstein",Apple TV+,MRC Entertainment,2023-01-01,Drama,Science Fiction,10,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Potential,"Drew Goddard (ep), Sarah Esberg (ep), Dan Etheridge (ep), Pierre Laugier (ep), Anthony Lancret (ep), Jean Nainchrik (ep), Alethea Jones (d, ep), Todd Harthan (ep, sr), Kaitlin Olson (p)",ABC,ABC Signature,2025-01-01,Drama,,,Original,,,"Morgan is a single mom with three kids and an exceptional mind who helps solve an unsolvable crime when she rearranges some evidence during her shift as a cleaner for the police department. When they discover she has a knack for putting things in order because of her high intellectual potential, she is brought on as a consultant to work with seasoned, by-the-book Detective Karadec, and together they form an unusual and unstoppable team. Based on the French series 'HIP (High Intellectual Potential).'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
History of a Pleasure Seeker,"Richard Mason (w, ep), Julie Anne Robinson (ep), Christopher Read (ep), Jimmy Mulville (ep), Michael Gracey (ep)",Hulu,ABC Signature,2023-01-01,Drama,,,Book,,,Musical drama set in 1907 Amsterdam follows a charismatic young man's explosive adventures through all the temptations of the Belle Époque. Based on the novel by Richard Mason.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
History of the World Part II,"Mel Brooks (w, ep), Nick Kroll (w, ep), Wanda Sykes (w, ep), Ike Barinholt (w, ep), David Stassen (w, ep), Kevin Salter (w, ep)",Hulu,"Searchlight Television,20th Television",2021-01-01,Comedy,,,Original,,,"Variety series sequel to the 1981 movie 'History of the World, Part 1.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Economics,"Kari Lizer (w, ep), Pam Fryman (d)",ABC,"Sony Pictures Television,ABC Studios,20th Television,Touchstone Television",2021-01-01,Comedy,,,Original,,,"An empty-nester mom wonders how she ended up alone while her children live their best lives thousands of miles away. She decides her place is with her family and as she reinserts herself into their lives, her kids realize they might actually need her more than they thought.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House of the Dragon,"Ryan Condal, Sara Lee Hess, Miguel Sapochnik, George R.R. Martin, Vince Gerardis, Ron Schmidt, Clare Kilner, Geeta V. Patel, Greg Yaitanes",HBO,HBO,2021-01-01,Drama,Fantasy,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How I Met Your Father,"Isaac Aptaker, Elizabeth Berger, Hilary Duff",Hulu,,2021-04-21,Comedy,,10,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to Be a Bookie,"Chuck Lorre (w, ep), Nick Bakay (w, ep), Sebastian Maniscalco (ep), Judi Marmel (ep)",HBO,Warner Bros. Television,2021-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to Die Alone,"Natasha Rothwell (w, ep, sr), Vera Santamaria (ep, sr), Desiree Akhaven (ep)",Hulu,Onyx Collective,2023-01-01,Comedy,,,Comic,,,"Melissa is a fat, Black neurotic who’s never been in love. After a comical brush with death, she refuses to settle for anything less than the life she wants, catapulting her on a journey to becoming “100% that bitch” in real life by any means necessary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hysteria!,"Matthew Scott Kane, John Francis Daley, Jonathan Goldstein",Peacock,Good Fear,2022-08-05,Drama,Thriller,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Know What You Did Last Summer,"Sara Goodman, Shay Hatten, Neal H. Moritz, Pavun Shetty, James Wan, Rob Hackett",Prime Video,Amazon Studios,2021-01-01,Drama,,,Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm a Virgo,"Boots Riley, Tze Chun, Michael Ellenberg, Lindsey Springer",Prime Video,Media Res,2021-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In From the Cold,Adam Glass,Netflix,Netflix,2021-01-01,Drama,"Thriller, Spy, Science Fiction",,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In The Know,"Mike Judge, Zach Woods",Peacock,,2022-09-20,Animation,Comedy,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interior Chinatown,,Hulu,,2023-01-01,Drama,,,Original,,,"Willis Wu, a background actor in a procedural cop show called 'Black & White,' goes through the motions of his on-screen job, waits tables and dreams about a whole world beyond Chinatown. When he inadvertently becomes a witness to a crime, Willis begins to unravel a criminal web in Chinatown, and in the process discovers what it feels like to be in the spotlight.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventing Anna,"Shonda Rhimes, David Frankel",Netflix,Universal Television,2021-01-01,Drama,Crime,10,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invincible,"Robert Kirkman, Cory Walker, David Alpert, Catherine Winder",Prime Video,Amazon Studios,2021-01-01,Drama,,8,Comic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invitation to a Bonfire,"Rachel Caris Love, Robin Schwartz, Kyle Laursen, Carolyn Daucher",AMC,AMC Studios,2023-01-01,Drama,"Historical, Romance",6,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irma Vep,"Olivier Assayas, Alicia Vikander, Sylvie Barthet, Sam Levinson, Ashley Levinson, Kevin Turen, Stuart Manashil",HBO,A24,2021-01-01,Drama,,,Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Mike,"Steven Rogers (w, ep), Karin Gist (ep, sr), Craig Gillespie (d, ep), Margot Robbie (ep), Trevante Rhodes (ep), Claire Brown (ep), Bryan Unkeless (ep), Scott Morgan (ep), Tom Ackerley (ep), Darin Friedman (ep)",Hulu,20th Television,2021-01-01,Drama,,,Original,,Limited,"Explores the wild, tragic and controversial life and career of heavyweight champion Mike Tyson – one of the best heavyweight boxers of all time and among the most polarizing figures in sports culture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ironheart,"Chinaka Hodge (w, ep), Ryan Coogler (ep), Zinzi Coogler (ep), Sev Ohanian (ep), Sam Bailey (d), Angela Barnes (d)",Paramount+,Marvel Television,2023-01-01,Drama,,,Original,,,Teenage Riri Williams is a genius inventor who creates the most advanced suit of armor since Iron Man.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irreverent,,Peacock,Matchbox Pictures,2021-08-23,Drama,Crime,10,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of the Dead,"Eli Jorné, Scott M. Gimple, Lauren Cohan, Jeffrey Dean Morgan",AMC,,2023-01-01,Drama,,,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jigsaw,"Eric Garcia, Ridley Scott, David W. Zucker, Jordan Sheehan, Fred Berger, Brian Kavanaugh-Jones, Justin Levy, Russell Fine, Jose Padilha",Netflix,Netflix,2021-01-01,Drama,"Crime, Heist",,True Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julia,"Chris Keyser (ep, sr), Daniel Goldfarb (w, ep), Charles McDougall (d, ep), Erwin Stoff (ep), Kimberly Carver (ep)",HBO,"Lionsgate Television, 3 Arts Entertainment",2021-01-01,Drama,,,Original,,,"Inspired by Julia Child’s life and her show 'The French Chef,' which essentially invented food television. Through Julia and her can-do spirit, it explores an evolving time in American history – the emergence of a new social institution called public television, feminism and the women’s movement, the nature of celebrity and America’s cultural growth.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just Beyond,"Seth Grahame-Smith (w, ep), David Katzenberg (ep)",Paramount+,20th Television,2023-01-01,Drama,,,Comic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just Cause,"Christy Hall, Scarlett Johanssen, Jonathan Lia, Keenan Flynn",Prime Video,Warner Bros. Television,2023-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas City Star,"Kaley Cuoco, Jen Statsky, Lucia Aniello, Paul W. Downs",HBO,,2024-11-13,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaos,"Charlie Covell (Writer, Executive Producer), Georgi Banks Davies (Director), Nina Lederman (Executive Producer), Tanya Seghatchian (Executive Producer), John Woodward (Executive Producer), Jane Featherstone (Executive Producer)",Netflix,Other,2023-01-01,Drama,Fantasy,,Original,,,"Contemporary reimagining of Greek and Roman mythology goes from Earth to the Underworld and Mount Olympus, exploring themes including gender politics and power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kay Scarpetta,"Liz Sarnoff, Nicole Kidman, Jamie Lee Curtis, Per Saari, Jason Blum, Chris McCumber, Jeremy Gold",Prime Video,Amazon Studios,2023-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ke Nui Road,"Matt Kester (w, ep), John Wells (d, ep), Erin Jontow (ep)",HBO,Warner Bros. Television,2021-01-01,Drama,,,Original,,,"Set on the North Shore of Oahu, it focuses on the relationships among an elite crew of heavy-water lifeguards and the teens and young adults they mentor and train in the junior lifeguard program. The junior guards program embodies the beauty, the danger, the struggle and the spirit of aloha — all centered on the ocean — that is modern Hawaii.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Can F*** Himself,"Valerie Armstrong, Rashida Jones, Will McCormack",AMC,,2023-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King of the Hill,"Mike Judge (w, ep), Greg Daniels (w, ep), Saladin Patterson (ep, sr), Michael Rotenberg (ep), Howard Klein (ep), Dustin Davis (ep)",Hulu,20th Television Animation,2023-01-01,Comedy,,,TV Show,,,"Revival of the 1997-2010 Fox animated series. Set in the fictional Arlen, Texas, it follows the life of Hank Hill, an enthusiastic seller of propane and propane accessories; his wife, Peggy, the local Boggle champ and substitute teacher; and their 13-year-old son, Bobby, who defies any expectation his father had for a son; and their friends Dale, Bill, Boomhauer, Minh, Nancy and Connie.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings of America,"Jess Kimball Leslie, Adam McKay, Amy Adams, Betsy Koch, Brunson Green, Diana Son",Netflix,Netflix,2021-01-01,Drama,"Biography, Legal",,True Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koala Man,"Dan Hernandez (w, ep, sr), Benji Samit (w, ep, sr), Michael Cusack (w, ep), Justin Roiland (ep), Emma Fitzsimmons (ep), Michael Cowap (ep), Scott Greenberg (ep), Joel Kuwahara (ep), Dana Tafoya Cameron (ep), Ben Jones (ep)",Hulu,20th Television Animation,2023-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Maison,"José Caltagirone, Valentine Milvill, Alex Berger, Fabrice Gobert, Daniel ""Podz"" Grou",Apple TV+,Apple Studios,2023-01-01,Drama,Fashion,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady in the Lake,"Alma Har'el, Dre Ryan, Natalie Portman, Lupita Nyong'o, Christopher Leggett, Sophie Mas, Jean-Marc Vallée, Nathan Ross, Julie Gardner, Laura Lippman",Apple TV+,Crazyrose,2023-01-01,Drama,Mystery,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landscapers,"Ed Sinclair, Will Sharpe, Serena Thompson, Jane Featherstone, Chris Fry, Olivia Colman, Katie Carpenter",HBO,Sister,2021-01-01,Drama,Crime,4,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lessons in Chemistry,"Susannah Grant, Brie Larson, Jason Bateman, Michael Costigan",Apple TV+,,2023-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life & Beth,,Hulu,,2021-01-01,Comedy,,,Original,,,"FKA Love, Beth
How I Met Your Father,Isaac Aptaker (w",ep),Elizabeth Berger (w,ep),Carter Bays (ep),Craig Thomas (ep),Pam Fryman (d,ep),Adam Londy (co-ep),"Hilary Duff (p)""",Hulu,['20th Television'],2021-01-01,Comedy,,,,,,,,,,,,,,,,,
Lightyears,"Holden Miller, Daniel C. Connolly, Jimmy Miller, Sam Hansen, Juan José Campanella, Philip Martin",Prime Video,Amazon Studios,2021-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Sky,"Rightor Doyle, Samara Weaving, Dara Gordon",Netflix,Netflix,2023-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loki,,Paramount+,,2023-01-01,Drama,,,Comic,,Limited,"Spinoff from the MArvel Cinematic Universe follows the mercurial and villainous Loki, the Asgardian god of mischief and brother of Thor, in stories that take place after the events of 'Avengers: Endgame. '",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Losing Alice,"Sigal Avin, Nadav Palti, Tami Mozes Borovitz",Apple TV+,Apple Studios,2023-01-01,Drama,Thriller,8,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Ollie,"Shawn Levy, Josh Barry, Brandon Oldenburg, Emily Morris",Netflix,21 Laps Entertainment,2021-01-01,Comedy,Action,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love and Death,"David E. Kelley (w, ep), Nicole Kidman (ep), Lesli Linka Glatter (d, ep), Per Saari (ep), Scott Brown (ep), Megan Creydt (ep), Matthew Tinker (ep), Michael Klick (ep), Helen Verno (ep)",HBO,Lionsgate Television,2021-01-01,Drama,,,TV Show,,Limited,Revolves around two churchgoing couples who are enjoying small-town family life in Texas -- until somebody picks up an ax. Inspired by the book 'Evidence of Love: A True Story of Passion and Death in the Suburbs' and a collection of articles from Texas Monthly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Victor,,Hulu,20th Television,2021-01-01,Comedy,,,Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.I.A.,"Bill Dubuque, Shannon Gisela, Brittany Adebumola, Dylan Jackson",Peacock,MRC Entertainment,2024-08-22,Crime,Thriller,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
